Neu...,Command + n
Öffnen...,Command + o
Projekt schließen,Command + Shift + w
Tab Projekt schließen,Command + w
Sichern,Command + s
Sichern als...,Command + Shift + s
Papierformat...,Command + Shift + p
Drucken...,Command + p
Beenden,Command + q
Suchen & aktivieren...,Command + Shift + a
Gruppierung aussetzen,Option + g
Autogruppe,Option + Shift + g
Geschoss-Einstellungen...,Command + 7
Ein Geschoss höher,Command + 6
Ein Geschoss tiefer,Command + 5
Gehe in Geschoss...,Command + 4
Grundriss,Command + 2
Photorealistische Darstellung,F10
Animation...,F11
Drahtmodell,Command + Shift + F9
Verdeckte Kanten,Command + F9
Schattierung,F9
Umschalter Konstruktionsmethoden,c
X-Koordinate,x
X-Koordinate,Shift + x
Y-Koordinate,y
Y-Koordinate,Shift + y
Z-Koordinate,z
Z-Koordinate,Shift + z
X-Koordinate fixieren,Option + x
Y-Koordinate fixieren,Option + y
Z-Koordinate fixieren,Option + z
Radius/Abstand sperren,Option + r
Vorheriges Werkzeug im Werkzeugkasten,PageUp
Nächstes Werkzeug im Werkzeugkasten,PageDown
Zoom (Vergrössern),-
Zoom (Verkleinern),+
Bildlauf rechts,Right
Bildlauf links,Left
Bildlauf unten,Down
Bildlauf oben,Up
Nach rechts stoßen (Großer Schritt),Option + Shift + Right
Nach links stoßen (Großer Schritt),Option + Shift + Left
Nach unten stoßen (Großer Schritt),Option + Shift + Down
Nach oben stoßen (Großer Schritt),Option + Shift + Up
Nach rechts stoßen,Shift + Right
Nach links stoßen,Shift + Left
Nach unten stoßen,Shift + Down
Nach oben stoßen,Shift + Up
Neu & Wiederherstellen,Command + Option + n
Bibliothekenmanager...,Command + Shift + b
Träger,Shift + u
Objekt,Shift + o
Lichtquelle,Shift + l
Dach,Shift + d
Freifläche,Shift + f
Höhenbemaßung,Option + Shift + b
Text,Option + Shift + t
Raum,Option + Shift + r
Radius/Abstand,r
Radius/Abstand,Shift + r
Winkel,w
Winkel,Shift + w
Winkel fixieren,Option + w
Schraffur,Shift + s
Linie,l
Polylinie,Shift + p
Spline,Option + Shift + s
Fixpunkt,Option + Shift + f
Schnitt,a
Detail,Option + Shift + d
Kamera,Shift + k
Objekt öffnen...,Command + Shift + o
Ausschneiden,Command + x
Kopieren,Command + c
Einfügen,Command + v
Alle Wände aktivieren,Command + a
Wiederhole den letzten Befehl,Command + b
Wiederausführen,Command + Shift + z
Widerrufen,Command + z
Ebenen (Modelldarstellung)...,Command + l
Längenänderung,Command + h
Gruppieren,Command + g
Gruppe auflösen,Command + u
Gruppe auflösen,Command + Shift + g
Raster-Einstellungen...,F6
Rasterfang,F7
Konstruktionsraster darstellen,F8
Standort & Projektionsart...,Command + Option + 3
Block,Command + Option + F9
